Business_ID,Name,Address,City,Latitude,Longitude,Grade
PR0023258,ARTH - THE INDIAN BISTRO,238 CENTRAL WAY,KIRKLAND,47.6766099795,-122.2040131438,2
PR0052063,DOUGH JOY,2052 NW MARKET ST ,Seattle,47.6689124659,-122.3843073561,1
PR0006692,RANCH DRIVE-IN,18218 BOTHELL WAY NE ,BOTHELL,47.7605278395,-122.207224976,1
PR0020019,NEW TOKYO TERIYAKI,22340 MARINE VIEW DR S ,Seattle,47.400708631,-122.3240570682,3
PR0085920,OCULUS VR. LLC,9845 WILLOWS RD NE BLDG A,REDMOND,47.68756832,-122.14933009,1
PR0076306,OSTERIA LA SPIGA,1429 12TH AVE #A,SEATTLE,47.6138135552,-122.3171061284,2
PR0069805,76 FOOD MART,31509 3RD AVE STE 120,BLACK DIAMOND,47.3192093296,-122.0059667413,1
PR0090075,203 DEGREES FAHRENHEIT CORP,610 TERRY AVE N STE 170,SEATTLE,47.62529931,-122.33683306,1
PR0044923,PHNOM PENH,7123 M L KING JR WAY S,Seattle,47.5382853658,-122.2820294732,2
PR0079741,BOBALUST,1770 S 320th ST,FEDERAL WAY,47.31690633,-122.3110546,2
PR0076120,JIMMY'S ON FIRST,1046 1ST AVE S ,SEATTLE,47.5927085852,-122.3336877272,1
PR0088483,SHAKE SHACK,300 PETER KIRK LN BLDG G,KIRKLAND,47.6776511,-122.1996402,1
PR0016195,PONY KEG GRILL & BAR,8535 S 212TH ST,KENT,47.4115915405,-122.2259380218,1
PR0066666,MEHFIL INDIAN CUISINE,23617 104TH AVE SE STE C,KENT,47.3901459994,-122.2024964166,3
PR0087779,SUGAR SHACK,17636 100TH AVE SW,VASHON ISLAND,47.44638984,-122.46144533,2
PR0087894,SEATTLE HYATT REGENCY,808 HOWELL ST,SEATTLE,47.61453,-122.33394,1
PR0070953,YOKO'S TERIYAKI BISTRO,34024 HOYT RD SW B,FEDERAL WAY,47.2964090104,-122.3813519144,3
PR0072099,DUKE'S  KENT STATION CHOWDER,240 W KENT STATION ST STE 101,KENT,47.3854,-122.23531,1
PR0025268,BIG FISH SUSHI RESTAURANT,22639 NE INGLEWOOD HILL RD,SAMMAMISH,47.6155229963,-122.0375322958,2
PR0020477,LITTLE CAESARS PIZZA,14400 AMBAUM BL SW A,BURIEN,47.4733996128,-122.3466987824,1
PR0064235,VON'S CHICKEN,1400 S 312TH ST STE #1,FEDERAL WAY,47.3226474072,-122.3155979668,1
PR0046527,EMERALD DOWNS,2300 RON CROCKETT DR,AUBURN,47.3282013924,-122.2375063814,1
PR0086968,MELODY LYNNE VINEYARD TASTING ROOM & WINE BAR,106 KIRKLAND AVE,KIRKLAND,47.675674,-122.20584672,1
PR0081645,"MOLLY MOON'S HOMEMADE ICE CREAM, LLC",321 W GALER ST,SEATTLE,47.63218039,-122.36145755,1
PR0091639,ATLASSIAN,10900 NE 4TH ST STE 1000,BELLEVUE,,,1
PR0005950,TAQUERIA EL RINCONSITO,4619 NE SUNSET BL,Renton,47.5050928203,-122.157151931,2
PR0077367,CAFFE LADRO,333 108TH AVE NE STE 175,BELLEVUE,47.6134913051,-122.1966550267,1
PR0065460,LATIN MARKET,217 S 4TH PL ,RENTON,47.476487,-122.214471,1
PR0086808,MAHARAJ,2312 SW 336TH ST,FEDERAL WAY,47.30138851,-122.36324675,3
PR0041116,STARBUCKS COFFEE #385,606 NW RICHMOND BEACH RD ,SHORELINE,47.7658467988,-122.3646778164,1
PR0071176,OSTERIA DA PRIMO,631B SW 152ND ST ,BURIEN,47.4666446629,-122.3423016138,1
PR0021210,PETE'S  EGGNEST  CAFE,7717 GREENWOOD AVE N ,SEATTLE,47.6853069408,-122.3555448452,2
PR0001429,ADA'S RESTAURANT & BAR,5910 PHINNEY AVE N ,Seattle,47.6721711301,-122.3542057885,1
PR0067182,SAHALEE COUNTRY CLUB,21200 NE SAHALEE COUNTRY CLUB DR ,SAMMAMISH,47.6350157825,-122.0569853535,1
PR0088104,KOISHI SUSHI & BENTO (CENTRAL TERMINAL),17801 INTERNATIONAL BL CT-26,SEATTLE,47.44377,-122.30328,2
PR0084735,SUBSTATION,645 NW 45TH ST,SEATTLE,47.66125433,-122.36564115,1
PR0069208,PHO BAC CAFE,18119 E VALLEY HWY S #102,KENT,47.440088,-122.222771,2
PR0018941,UPTOWN ESPRESSO,3845 DELRIDGE WAY SW ,SEATTLE,47.5687045761,-122.3637544363,3
PR0084222,J N J ISLANDER SPOT LLC,202 E MAIN ST STE 6B,AUBURN,47.30727667,-122.2271874,1
PR0043063,YUMMY TERYAKI,622 1ST AVE N ,Seattle,47.6253052557,-122.355176892,2
PR0090151,7-ELEVEN #41827A,35620 PACIFIC HWY S,FEDERAL WAY,47.28204353,-122.32139968,1
PR0005115,"7-ELEVEN, INC/MKT 2361- 14481E",1539 21ST AVE SE ,AUBURN,47.2902922346,-122.2089181577,1
PR0088861,COFFEEHOLIC HOUSE,3700 S HUDSON ST STE C1,SEATTLE,47.55715982,-122.28596582,2
PR0083955,LOS COSTENOS,600 5th AVE S STE #102,SEATTLE,47.596752,-122.327482,2
PR0020181,SWEET INSPIRATIONS BAKERY LLC,620 AUBURN WAY S STE B,AUBURN,47.3017628887,-122.2240212804,1
PR0006948,"ROLL POD, THE",14320 NE 20TH ST STE A,BELLEVUE,47.62827,-122.14943,1
PR0084759,STREET BEAN COFFEE ROSTERS,2711 3RD AVE,SEATTLE,47.61717141,-122.34953075,1
PR0042095,SEATAC  CHEVRON,15804 DES MOINES MEMORIAL DR S ,SEA TAC,47.4616695262,-122.3230523633,1
PR0076731,SAFEWAY INC #497-GROCERY,17202 15TH AVE NE ,SHORELINE,47.7544430468,-122.3130976411,1
PR0089296,KJS KOFFEE LLC,12303 15TH AVE NE,SEATTLE,47.71777123,-122.31304016,1
PR0017844,CHINOOK'S AT SALMON BAY,1900 W NICKERSON ST STE 102,SEATTLE,47.6556038309,-122.3803190398,1
PR0088266,19 GOLD,3601 FREMONT AVE N STE 101,SEATTLE,47.65169662,-122.35031342,2
PR0086549,METROPOLITAN MARKET #162,301 228TH AVE SE STE 100,SAMMAMISH,47.60591757,-122.03586109,2
PR0054902,ARTSWEST,4711 CALIFORNIA AVE SW ,Seattle,47.560710337,-122.3871888213,1
PR0066650,"MELTING POT, THE",308 108TH AVE NE ,BELLEVUE,47.6127528744,-122.1952802066,2
PR0091193,AMAZON SEA112,555 108th AVE NE,BELLEVUE,,,1
PR0067337,CINNABON,302 BELLEVUE SQUARE 1038,BELLEVUE,47.61573852,-122.2039582927,1
PR0086878,DERBY - ESMB SEATTLE LLC,2233 6th AVE S,SEATTLE,47.58238595,-122.32719259,2
PR0090156,?al?al Cafe,122 2ND AVE S,SEATTLE,47.60141,-122.33134,2
PR0081524,YUSRA AND SABAH RESTAURANT,7729 RAINIER AVE S #A,SEATTLE,47.53277525,-122.27032396,3
PR0056868,GARLIC CRUSH,102 BELLEVUE WAY NE,Bellevue,47.611408373,-122.2011662362,2
PR0079958,BENBOW ROOM,4210 SW ADMIRAL WAY STE A,SEATTLE,47.58146039,-122.38568292,1
PR0088379,KHAO SAN THAI CUISINE,100 FRONT ST S,ISSAQUAH,47.52901177,-122.03615878,2
PR0089716,WESTERLY KITCHEN COMPANY,5700 1ST AVE S,SEATTLE,47.55172,-122.33388,1
PR0067601,LEVY RESTAURANTS @ LUMEN FIELD,800 OCCIDENTAL AVE S,SEATTLE,47.5954381396,-122.3315931318,1
PR0087132,CLARION HOTEL RENTON,3700 EAST VALLEY RD,RENTON,47.44631315,-122.21745486,1
PR0057043,TACO DEL MAR,1033 NE 65TH ST ,SEATTLE,47.6756622483,-122.3170560533,3
PR0090529,Connections,3201 S 176TH ST,Seattle,47.44392224,-122.29081649,1
PR0054773,HAPPY LEMON,17181 NE REDMOND WAY STE A08,Redmond,47.6707347822,-122.1112817353,1
PR0086673,ART OF THE TABLE,3801 STONE WAY N STE A,SEATTLE,47.6529772,-122.34303445,1
PR0052415,UMI SAKE HOUSE,2230 1ST AVE ,SEATTLE,47.6133906134,-122.34596732,2
PR0090757,VON'S 1000 SPIRITS WOODINVILLE,15029 WOODINVILLE REDMOND RD NE Unit 100,WOODINVILLE,47.73719,-122.15594,1
PR0077786,CANTINETTA,3650 WALLINGFORD AVE N,SEATTLE,47.6512556202,-122.3365588021,1
PR0088318,TACO BELL #35632,727 ROOSEVELT AVE,ENUMCLAW,47.19984,-121.98705,1
PR0086257,IL PAESANO RISTORANTE ITALIANO,113 BENDIGO BL N UNIT A,NORTH BEND,47.49591625,-121.78704242,1
PR0089990,GROCERY AT THE COMMONS,1701 S 320TH ST,FEDERAL WAY,47.31349,-122.31146,1
