,Call Category,Time_Diff_Minutes
0,community suspicion,50.79253505699258
1,domestic violence,39.37343090792137
2,drug crime,55.60306966069426
3,noise complaint,74.85456598144074
4,other,38.285752222098
5,property crime,51.93319589225519
6,sex crime,43.07754438543912
7,traffic safety,39.43505219134265
8,violent crime,20.235911790495017
9,wellness check,47.67681283828594
